timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
14:30:15,35,67,0,162659,70576,91221,5508,2181,62173,1083,194127,0,L,0.15480001457035542,0.09110002429224551
14:30:16,54,77,0,794468,366600,253771,19072,10201,219334,4430,756813,0,L,0.17260000458918512,0.1100999943446368
14:30:17,66,83,0,699190,287933,82147,28442,45334,185972,6726,739977,0,L,0.1655000087339431,0.09889999637380242
14:30:18,64,87,0,1496653,276352,359366,41035,11357,148615,5038,777222,0,L,0.1519000215921551,0.09690001024864614
14:30:19,56,90,0,2175917,423007,502445,16372,8998,241144,6794,798626,0,L,0.15249999705702066,0.09750001481734216
14:30:20,60,84,0,1148988,291506,150742,27548,13340,198632,4066,733762,0,L,0.15609999536536634,0.09989997488446534
14:30:21,56,88,0,211693,81856,35404,9436,3334,50281,1335,189247,0,L,0.15330000314861536,0.09720001253299415
14:30:22,63,84,0,425252,61873,67255,6547,3199,49556,1026,191998,0,L,0.15549999079667032,0.10010000551119447
14:30:23,70,74,0,1888722,474770,199668,17016,4037,261470,6519,759134,0,L,0.15259999781847,0.09689998114481568
14:30:24,74,78,0,674915,252985,223237,35406,29920,247898,4750,777405,0,L,0.1483999949414283,0.09290000889450312
14:30:25,81,77,0,840347,164766,8220,75601,10901,171286,5252,776047,0,L,0.1495999749749899,0.09439999121241271
14:30:26,81,77,0,297417,72551,98482,5995,2041,58880,905,190830,0,L,0.146100006531924,0.09129999671131372
14:30:27,81,84,0,437326,210317,221539,18543,16697,175268,1261,821364,0,L,0.16120000509545207,0.0990999978967011
14:30:28,84,77,0,1091811,269996,114325,32780,40450,237918,7291,781852,0,L,4.950700007611886,0.09820002014748752
14:30:29,64,78,0,915655,401966,123057,49326,13438,111656,5632,777565,0,L,0.146100006531924,0.09010001667775214
