timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
06:46:54,93,93,0,4392,10622,8380,1302,5603,5911,2823,330156,0,L,0.15769992023706436,0.09540002793073654
06:46:55,94,94,0,3884,5335,2388,9791,5933,6135,2904,304231,0,L,2.173099899664521,0.11290004476904869
06:46:56,94,100,0,3603,12214,11376,5458,2416,11665,6718,345054,0,L,41.05810006149113,0.09860005229711533
06:46:57,93,100,0,8565,6063,15763,10193,9749,4874,3820,294091,0,L,37.19970001839101,0.10369997471570969
06:46:58,84,97,0,20577,25579,6575,2128,6423,4819,6345,323911,0,L,7.15019996277988,0.0950999092310667
06:46:59,91,97,0,3221,4501,2686,6016,3145,7689,2845,376519,0,L,2.3439000360667706,0.11620018631219864
