timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
23:46:42,63,87,0,696575,294462,31008,94656,1548,88078,1058,354371,0,N,0.22630009334534407,0.1015000743791461
23:46:43,64,88,0,1938773,932923,337623,70397,7620,285457,6085,1515544,0,N,0.1680999994277954,0.10179996024817228
23:46:44,75,84,0,547005,222924,65380,101754,3998,90025,905,379346,0,N,0.16080006025731564,0.09750004392117262
23:46:45,66,78,0,37074,87409,19021,6337,445,17897,591,77138,0,N,0.15600002370774746,0.09780004620552063
23:46:46,63,83,0,662240,174765,137576,16620,2420,56536,2112,363325,0,N,0.15400000847876072,0.09440002031624317
23:46:47,64,83,0,1826589,1316466,250209,283260,12076,462707,4951,1469840,0,N,0.15300000086426735,0.09470002260059118
23:46:48,63,80,0,1041703,308591,53142,106629,1367,99963,2054,384371,0,N,0.15709991566836834,0.09729992598295212
23:46:49,64,90,0,897563,580114,755263,24923,29097,233462,4338,1490825,0,N,0.1517999917268753,0.09540002793073654
23:46:50,61,88,0,1512965,848901,583290,91418,21479,187304,2999,1398608,0,N,0.16410008538514376,0.10290008503943682
23:46:51,56,87,0,1142625,1819030,69001,479673,9201,422125,10662,1537628,0,N,0.16259995754808187,0.09700004011392593
23:46:52,57,84,0,1288347,360353,109424,47860,1696,118672,2009,410743,0,N,0.1561000244691968,0.0969000393524766
23:46:53,56,77,0,326114,478634,10513,184015,1478,109005,2222,437816,0,N,0.1553000183776021,0.09650003630667925
23:46:54,66,83,0,2072063,408300,121515,921615,27066,397457,2895,1884760,0,N,6.0746000381186604,0.10100007057189941
23:46:55,67,87,0,406900,517426,15859,206535,2201,132187,969,478263,0,N,28.853399911895394,0.09400001727044582
23:46:56,69,88,0,402791,296921,4568,188897,2192,127767,3159,428345,0,N,25.067799957469106,0.09709992446005344
23:46:57,67,83,0,622838,751331,24340,138348,4147,107260,4852,442851,0,N,0.16089994460344315,0.1012999564409256
23:46:58,69,78,0,114117,34918,5356,50096,1948,30793,278,119369,0,N,0.15550001990050077,0.09810004848986864
23:46:59,80,81,0,144491,37597,20844,16042,1122,34373,331,120631,0,N,2.3602000437676907,0.0969000393524766
23:47:00,81,81,0,614087,295677,2333,179043,2351,134281,3074,432159,0,N,0.16579998191446066,0.10130007285624743
23:47:00,87,81,0,829375,574738,44125,83267,3439,134216,4784,432862,0,N,0.15860004350543022,0.09980006143450737
23:47:02,87,77,0,1089633,1012359,33635,749810,11915,576938,16954,1914651,0,N,0.15550001990050077,0.09579991456121206
23:47:02,78,70,0,1153245,362661,74205,77303,1605,120381,1983,382742,0,N,0.15580002218484879,0.09590003173798323
23:47:03,80,74,0,2075514,616444,148971,328097,18851,410685,9178,1464963,0,N,0.1583000412210822,0.09380001574754715
23:47:04,84,81,0,737100,224232,1037,192252,2484,117091,1999,444668,0,N,0.15400000847876072,0.09630003478378057
23:47:05,74,75,0,159684,870404,2174,197905,3808,123292,3265,444388,0,N,0.1556000206619501,0.09410001803189516
23:47:06,74,75,0,85383,110827,17256,28949,920,35624,1212,112057,0,N,0.15600002370774746,0.09740004315972328
23:47:07,60,74,0,1430936,2293351,116722,802145,42873,376921,8302,1795720,0,N,0.1569000305607915,0.0980000477284193
23:47:08,51,63,0,323104,680963,27989,107490,3711,121117,3374,444871,0,N,0.15649991109967232,0.09789993055164814
23:47:09,63,70,0,399084,293914,10330,193994,1136,149321,2178,467449,0,N,0.15259999781847,0.09410001803189516
23:47:10,61,69,0,124755,470243,23778,158119,1798,130385,3238,435998,0,N,0.15989993698894978,0.09459990542382002
23:47:11,64,67,0,167283,150580,2925,56315,756,29456,998,115705,0,N,0.15260011423379183,0.09440002031624317
23:47:12,69,74,0,111684,373361,116762,49321,3142,128889,2218,481291,0,N,0.16789999790489674,0.09930005762726068
23:47:13,69,69,0,1551795,1365749,509513,150274,26709,562940,9024,1986424,0,N,0.16589998267591,0.10549998842179775
23:47:14,66,67,0,21832,132519,20001,19835,554,27926,909,105013,0,N,7.429899997077882,0.09499990846961737
23:47:15,60,63,0,278124,741196,65635,90131,24892,76008,15660,298609,0,N,0.16220007091760635,0.10299996938556433
23:47:16,56,63,0,1319841,2091640,127465,640349,7158,460427,8337,1770323,0,N,0.15300000086426735,0.0942000187933445
