timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
07:01:12,70,64,0,40916,17933,2560,6113,4827,4741,2565,443874,0,L,0.1556000206619501,0.09749992750585079
07:01:13,90,66,0,5567,17646,2306,4475,4262,6049,1809,434494,0,L,12.695500161498785,0.09560002945363522
07:01:14,74,69,0,137875,36627,28651,5169,7881,5203,2911,421587,0,L,0.14829984866082668,0.09269989095628262
07:01:15,77,75,0,2562,12587,11224,6232,8129,14854,3076,467397,0,L,0.15350012108683586,0.09510014206171036
07:01:16,84,81,0,2994,7891,10425,3183,5071,7706,3250,455735,0,L,0.1539001241326332,0.0966999214142561
07:01:17,81,87,0,376733,18522,9398,3682,6231,6253,3542,464406,0,L,2.6843000669032335,0.10700011625885963
