timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
23:56:48,84,80,0,713684,171549,327004,46693,9345,236244,5144,954624,0,N,0.21279999054968357,0.10080006904900074
23:56:50,78,84,0,425474,628572,406273,24733,3064,222659,4855,990000,0,N,0.15820004045963287,0.0996999442577362
23:56:50,84,81,0,1116725,476429,117952,39604,5382,289612,6671,981929,0,N,0.15430001076310873,0.09139999747276306
23:56:51,83,78,0,1286072,563783,310148,37465,16389,183507,5834,999712,0,N,0.15520001761615276,0.09700004011392593
23:56:52,83,77,0,197828,69509,110326,3195,1037,69175,976,250612,0,N,0.16039994079619646,0.10119995567947626
23:56:53,88,77,0,1327472,424879,316267,14720,9925,250649,4206,985656,0,N,0.15049998182803392,0.09350001346319914
23:56:54,80,78,0,869759,634971,192740,48969,8550,172508,4348,996120,0,N,0.19029993563890457,0.11789996642619371
23:56:55,88,80,0,215267,62353,71456,1686,2565,69892,1217,250394,0,N,0.16409996896982193,0.09730004239827394
23:56:56,90,70,0,1747096,313127,178446,2356,13124,235544,3227,996688,0,N,0.15049998182803392,0.09250000584870577
23:56:57,90,63,0,1220491,351130,32390,76636,29100,147755,3558,1034547,0,N,0.15239999629557133,0.0942000187933445
23:56:58,91,64,0,1012180,707471,331973,44969,12756,271102,3380,1060635,0,N,3.6416000220924616,0.09390001650899649
23:56:59,83,63,0,763129,641712,405122,8056,7134,244336,4007,994116,0,N,0.15360000543296337,0.09549991227686405
23:57:00,80,69,0,382137,71863,59503,14872,6962,46661,1394,242061,0,N,0.15620002523064613,0.098800053820014
23:57:01,83,77,0,896713,252981,181195,25276,6988,251804,4859,965723,0,N,56.288400082848966,0.09440002031624317
23:57:02,83,78,0,853570,396856,233264,16550,10647,172828,6391,932371,0,N,0.1545000122860074,0.0942000187933445
23:57:03,90,80,0,646584,383827,307048,43655,26217,266301,8533,970201,0,N,8.447000058367848,0.09650003630667925
23:57:04,78,69,0,841617,895989,160547,38247,10667,129857,4006,937789,0,N,0.18279999494552612,0.1159000676125288
23:57:05,69,69,0,1564819,625764,299165,46869,19483,235542,4702,1020073,0,N,0.15050009824335575,0.09270000737160444
23:57:06,69,69,0,897177,478651,214543,48375,27074,206038,7888,925436,0,N,0.15480001457035542,0.09600003249943256
23:57:07,64,77,0,235727,93279,146766,7832,2942,63026,1572,232575,0,N,0.15480001457035542,0.09580003097653389
