timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
09:54:07,1,29,0,822089,288914,101228,47291,8698,5355,4633,894779,0,N,0.22289995104074478,0.10720011778175831
09:54:08,1,57,0,913284,104734,43641,14405,25311,2914,594,231627,0,N,23.397000040858984,0.1042000949382782
09:54:09,1,56,0,470667,112533,2236,3295,4009,1543,516,232058,0,N,1.9846998620778322,0.09300000965595245
09:54:10,1,44,0,599768,98837,5912,12443,3717,3853,508,223723,0,N,0.16689999029040337,0.10740011930465698
09:54:11,1,23,0,263131,316534,16538,13929,11084,8919,2681,887145,0,N,0.1729000359773636,0.11410005390644073
09:54:12,1,16,0,1015544,126897,14066,16256,3292,1674,1216,227491,0,N,0.15690014697611332,0.10000006295740604
09:54:13,7,40,0,588591,61934,3229,13656,5375,6945,728,215173,0,N,0.15370012260973454,0.09769992902874947
09:54:14,21,44,0,719085,43876,8393,9719,9134,8777,630,236845,0,N,0.16469997353851795,0.10740011930465698
09:54:15,30,75,0,239457,11675,4271,5051,687,1367,506,56060,0,N,0.15529990196228027,0.098399817943573
09:54:16,57,81,0,40997,9650,2736,3070,5073,2554,1834,600055,0,N,2.412100089713931,0.09860005229711533
09:54:17,54,100,0,148732,15031,5428,13642,3456,1965,659,175041,0,N,0.16320007853209972,0.10540010407567024
09:54:18,37,100,0,69618,118009,25175,24055,5733,4539,3871,775613,0,N,0.19040005281567574,0.10040006600320339
09:54:19,44,94,0,255632,34608,2470,23586,17782,7934,1941,866117,0,N,0.15279999934136868,0.09689992293715477
09:54:20,26,93,0,1206914,138432,38400,14980,11910,4996,3632,830073,0,N,2.574700163677335,0.10070018470287323
09:54:21,35,63,0,223182,63812,4045,4314,18631,8296,2613,852124,0,N,0.15440001152455807,0.09720004163682461
09:54:22,38,50,0,233429,57422,2195,7259,1989,2688,637,208067,0,N,0.1759999431669712,0.1191999763250351
09:54:23,24,38,0,210678,182642,17579,16906,17663,8131,2721,913448,0,N,0.1542000100016594,0.09869993664324284
09:54:24,30,47,0,281164,56589,28939,26359,14593,5405,2981,840818,0,N,0.1642000861465931,0.10720011778175831
09:54:25,23,78,0,577648,6918,17062,12194,9797,2173,2775,150300,0,N,0.15970016829669476,0.1026000827550888
09:54:26,13,90,0,641182,73609,30119,2468,5061,1504,2863,623158,0,N,0.15529990196228027,0.09909993968904018
09:54:27,27,96,0,114637,20147,4565,4929,1653,4487,2478,647484,0,N,2.2917999885976315,0.09610014967620373
09:54:28,14,69,0,122597,114758,10484,1749,939,1664,1094,181987,0,N,0.15750015154480934,0.1004999503493309
09:54:29,29,48,0,52813,12563,1230,3701,1662,4339,2805,760427,0,N,0.17150002531707287,0.11399993672966957
09:54:30,34,30,0,676760,232615,15303,11950,18750,5329,3166,766952,0,N,0.1805000938475132,0.12240000069141388
09:54:31,20,29,0,1231994,84364,11743,16294,3366,4588,3997,760605,0,N,0.1572000328451395,0.09869993664324284
09:54:32,35,44,0,1303430,83992,4362,35317,23036,7623,3976,730313,0,N,0.20659994333982468,0.15030009672045708
09:54:33,16,43,0,753493,91721,5299,17617,10916,4503,2359,692484,0,N,0.156699912622571,0.09909993968904018
09:54:34,20,63,0,411357,129084,75611,22018,17059,6193,3615,707430,0,N,0.15139998868107796,0.0955001451075077
09:54:35,17,63,0,1203222,64048,17819,4771,14317,3044,3294,801732,0,N,2.5912001729011536,0.10080006904900074
09:54:36,11,63,0,74890,59426,17115,7966,6051,2848,3522,760848,0,N,0.15569990500807762,0.0991998240351677
09:54:37,16,57,0,197269,23700,878,2670,2076,1618,373,190066,0,N,0.18189987167716026,0.10149995796382427
09:54:38,29,50,0,543578,75194,20362,9420,4286,10803,3677,793403,0,N,0.1563001424074173,0.10009994730353355
09:54:39,41,40,0,126609,60138,5597,4025,5347,7709,1755,789246,0,N,8.716000011190772,0.09729992598295212
09:54:40,43,30,0,594064,49149,890,9028,6030,2296,481,185617,0,N,0.1680999994277954,0.10920013301074505
09:54:41,35,40,0,194632,19238,4511,1727,3810,751,838,191910,0,N,0.15719980001449585,0.1004999503493309
09:54:42,26,43,0,723490,129635,59221,4634,22799,7700,4573,815878,0,N,0.15690014697611332,0.09940005838871002
09:54:43,21,40,0,506311,142238,7159,7463,8975,11032,3274,834804,0,N,0.1517001073807478,0.09560002945363522
09:54:44,24,41,0,781135,130363,17616,10599,7935,7921,3580,820594,0,N,0.17799995839595795,0.12110010720789433
09:54:45,40,44,0,866037,124919,31463,30004,25186,22496,1993,810840,0,N,0.15769992023706436,0.0991998240351677
09:54:46,50,41,0,84023,46798,4285,13179,3359,8077,1080,194056,0,N,0.15070009976625443,0.09430013597011566
09:54:47,51,66,0,408035,45841,30552,16070,6045,7527,3053,814297,0,N,0.15700003132224083,0.09869993664324284
09:54:48,44,64,0,225713,63700,7035,4821,4100,2069,663,213223,0,N,0.16160006634891033,0.10549998842179775
09:54:49,34,78,0,589987,57536,46145,37418,6603,5023,4502,832945,0,N,0.15480001457035542,0.09769992902874947
09:54:50,26,77,0,110375,104387,26290,2677,9476,8484,2610,806201,0,N,0.1509999856352806,0.09350012987852097
09:54:51,11,70,0,1481178,145490,56323,30284,13357,4969,1619,863951,0,N,0.1909998245537281,0.12679980136454105
09:54:52,16,83,0,253814,104095,12990,48093,18993,8155,3608,766198,0,N,0.15629990957677364,0.09940005838871002
09:54:53,7,77,0,1227046,560693,343679,40053,11715,12965,4431,671865,0,N,0.15709991566836834,0.09940005838871002
09:54:54,16,77,0,296271,23545,1923,8030,7138,5479,1942,702284,0,N,2.5728000327944756,0.09660003706812859
09:54:55,16,57,0,929223,303285,14872,18164,15257,6870,6171,759302,0,N,0.15279999934136868,0.09649991989135742
09:54:56,7,61,0,230929,60969,28609,9392,4902,2044,428,199750,0,N,0.1713000237941742,0.10740011930465698
09:54:57,8,50,0,543728,234512,51512,11603,7424,5010,4810,761871,0,N,0.16200006939470768,0.10220007970929146
09:54:58,4,48,0,864976,52200,5525,12670,13733,7308,2095,756663,0,N,0.15440001152455807,0.09680003859102726
09:54:59,16,63,0,1223875,87960,18641,25683,20965,8201,4522,810539,0,N,2.3628000635653734,0.10030018165707588
09:55:00,11,47,0,796766,259693,29212,15842,10245,3919,1069,201002,0,N,2.140499884262681,0.09349989704787731
09:55:00,8,50,0,1265950,304752,58184,50406,28357,3552,3313,769079,0,N,0.15780003741383553,0.10160007514059544
09:55:01,4,48,0,1162238,79340,16503,1853,5132,5136,1710,190707,0,N,0.15460001304745674,0.09769992902874947
09:55:03,1,51,0,496335,202855,66270,46743,9594,6078,4579,735539,0,N,0.15239999629557133,0.09600003249943256
09:55:03,7,64,0,995665,54416,9048,20055,7180,2918,3775,824607,0,N,0.1550000160932541,0.09680003859102726
09:55:04,14,70,0,386397,52022,24552,6531,3801,1837,494,202018,0,N,10.954000055789948,0.09680003859102726
09:55:06,1,75,0,87530,96306,16771,10982,5373,2020,606,193588,0,N,0.17150002531707287,0.11320016346871853
09:55:06,14,57,0,214352,129340,13599,5130,10859,10857,4912,774100,0,N,0.15510013327002525,0.09870016947388649
09:55:07,8,44,0,151812,92233,10275,3340,3690,1539,718,202327,0,N,2.250900026410818,0.09909993968904018
09:55:08,17,40,0,1467810,207886,42157,44056,7183,18208,4206,829836,0,N,2.540700137615204,0.09649991989135742
09:55:09,23,30,0,760709,715122,43517,60467,16581,21306,5944,729360,0,N,6.151500158011913,0.09740004315972328
09:55:10,21,51,0,902617,116176,56016,35702,11980,12461,1866,812796,0,N,0.16080006025731564,0.10489998385310173
09:55:11,48,60,0,383398,94727,35237,11013,12627,26884,3156,223283,0,N,0.16499985940754414,0.1067998819053173
09:55:12,40,53,0,2279760,1250930,143734,109945,64496,44561,9492,916061,0,N,2.584999892860651,0.10429997928440571
09:55:13,48,53,0,221688,60839,3316,7972,9137,4225,818,42643,0,N,0.18829992040991783,0.11579995043575764
09:55:14,51,43,0,1088802,227498,26781,44437,15654,26033,6846,722527,0,N,0.15629990957677364,0.09929994121193886
09:55:15,30,38,0,140399,55297,5508,9134,4321,1860,1460,181648,0,N,0.1509999856352806,0.0950000248849392
09:55:16,27,44,0,1816427,89084,14860,22880,24078,2875,962,707256,0,N,0.16629998572170734,0.1097000204026699
09:55:17,23,44,0,368282,129176,16947,6841,18816,5602,3317,675530,0,N,2.5283999275416136,0.09999983012676239
09:55:18,27,44,0,512728,80841,25349,1886,3897,15443,3547,774592,0,N,0.15130010433495045,0.09549991227686405
09:55:19,35,53,0,499981,51207,18269,13881,11110,3878,3529,716760,0,N,0.16140006482601166,0.10329997166991234
