timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
06:44:57,41,81,0,5226,13459,6498,7676,5281,2274,1076,278602,0,L,0.1620999537408352,0.10120007209479809
06:44:58,60,83,0,5228,7910,9212,452,8491,5043,1680,280837,0,L,0.14789984561502934,0.09220000356435776
06:44:59,78,93,0,4105,3343,5163,3038,2272,3012,1951,311422,0,L,0.1666999887675047,0.10469998233020306
06:45:00,78,91,0,538,3726,5316,2372,5882,5272,4038,288585,0,L,2.6573999784886837,0.10180007666349411
06:45:01,90,91,0,2822,11653,14599,3916,11318,7586,2156,257888,0,L,0.15660002827644348,0.10089995339512825
06:45:02,87,91,0,11990,12324,3573,3833,1935,3793,4467,300048,0,L,2.1712000016123056,0.09949994273483753
