timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
00:00:31,88,37,0,540257,485651,70153,9979,6047,204090,3748,736039,0,N,0.1900999341160059,0.09649991989135742
00:00:31,50,66,0,316485,73643,16565,7146,10150,8274,7690,74103,0,N,0.1669001067057252,0.09810004848986864
00:00:32,44,54,0,14306,55213,9617,11812,4813,7335,4390,80429,0,N,0.16199995297938585,0.09559991303831339
00:00:33,35,54,0,98803,64684,36353,15913,22714,4946,1876,76879,0,N,0.16109994612634182,0.09849993512034416
00:00:34,40,50,0,49286,31307,24489,2407,11721,10336,2521,79433,0,N,0.15790003817528486,0.10040006600320339
00:00:35,40,56,0,15335,31712,14064,12846,13588,6106,2579,77528,0,N,2.592700067907572,0.10099995415657759
00:00:36,38,63,0,13196,32979,15589,14258,8731,5131,1842,63115,0,N,0.16439997125416994,0.10329997166991234
00:00:37,60,66,0,19884,12326,19187,4955,3622,13615,825,58637,0,N,0.1561000244691968,0.09710004087537527
00:00:38,54,61,0,1004,38420,11948,3560,10703,5482,2601,40305,0,N,31.165999942459166,0.10079995263367891
00:00:39,57,66,0,18145,14656,22104,9989,13344,6751,1310,34173,0,N,0.15350000467151403,0.09540002793073654
00:00:40,60,61,0,5818,47503,4976,17175,7382,6549,2330,41141,0,N,0.15550001990050077,0.09720004163682461
00:00:41,50,56,0,2948,26178,3840,12600,6691,5651,970,22459,0,N,0.15550001990050077,0.09720004163682461
00:00:42,47,66,0,10093,24538,19678,9955,5613,3674,1850,26139,0,N,0.15670002903789282,0.09829993359744549
00:00:43,50,63,0,16614,35012,21395,23659,16545,15754,1835,29270,0,N,0.15470001380890608,0.0926000066101551
00:00:44,60,70,0,7295,5066,21860,4999,13840,8180,946,28405,0,N,6.4344999846071005,0.10200007818639278
00:00:45,63,57,0,4852,21129,2937,1160,15401,4737,1273,33532,0,N,0.15840004198253155,0.09970006067305803
00:00:46,80,51,0,21818,11215,5582,7852,19256,10453,1324,21012,0,N,0.15750003512948751,0.09810004848986864
00:00:47,78,57,0,5474,6017,23152,2755,6337,5202,868,24482,0,N,6.390299997292459,0.09250000584870577
00:00:48,80,51,0,9107,5428,4192,5922,13073,5415,1819,30614,0,N,0.1545000122860074,0.09620003402233124
00:00:49,75,61,0,4706,40892,5515,15271,12150,7128,3192,25657,0,N,0.15480001457035542,0.09549991227686405
00:00:50,66,64,0,12558,20639,12231,6274,7964,7273,2772,29245,0,N,4.17970004491508,0.09630003478378057
00:00:51,63,51,0,7984,27619,4453,5218,3225,3905,6359,21257,0,N,0.1572000328451395,0.09750004392117262
00:00:52,53,61,0,5141,8437,5321,24291,5987,4340,3732,44763,0,N,0.15430001076310873,0.09640003554522991
00:00:53,56,74,0,8669,4908,17316,3558,6790,3734,1107,43163,0,N,0.15219999477267265,0.0942000187933445
00:00:54,56,77,0,15574,6006,26015,3426,18560,6970,3030,70392,0,N,2.5594000471755862,0.11230004020035267
00:00:55,53,88,0,16360,41103,36900,22803,8918,7258,1794,52478,0,N,0.152299995534122,0.09459990542382002
00:00:56,51,83,0,12019,23458,36871,4347,18123,6659,1039,72143,0,N,0.15470001380890608,0.09580003097653389
00:00:57,51,77,0,7689,18596,1649,12220,4721,4350,3930,54562,0,N,0.152900000102818,0.09410001803189516
00:00:58,64,63,0,3922,7530,2381,1941,8171,9146,1804,65334,0,N,0.15189999248832464,0.0942000187933445
00:00:59,81,56,0,5385,12696,8947,8512,5537,12724,1442,47759,0,N,0.15330000314861536,0.09550002869218588
00:01:00,90,54,0,4269,6263,6526,6082,6976,5522,3259,48290,0,N,0.16139994841068983,0.10109995491802692
00:01:01,96,50,0,9601,32992,7673,9337,12107,13903,2647,26887,0,N,0.17019989900290966,0.11159991845488548
00:01:02,81,57,0,17449,33321,3942,19356,8897,7997,2233,24330,0,N,2.377099939621985,0.09510002564638853
00:01:03,83,56,0,10172,14503,9598,6923,12923,16943,3727,16611,0,N,0.1626999583095312,0.10119995567947626
