timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
06:51:02,83,74,0,6772,16173,6715,10678,8696,4867,5178,348127,0,L,0.16249995678663254,0.09240000508725643
06:51:04,84,67,0,8520,5218,1746,4893,4925,6203,2895,311183,0,L,0.18509989604353905,0.10109995491802692
06:51:05,90,77,0,7092,5072,7320,3708,5746,6965,3220,319385,0,L,1.981999957934022,0.09819981642067432
06:51:06,96,75,0,3437,9279,6209,5097,10674,5909,2153,304840,0,L,15.950300032272935,0.09690015576779842
06:51:07,100,77,0,13244,4659,10892,3607,7850,8800,7096,276489,0,L,17.176700057461858,0.09540002793073654
06:51:10,90,83,0,1452,11474,6168,2184,15787,4496,6964,380557,0,L,0.1580000389367342,0.10060006752610207
