timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
07:06:06,77,93,0,15941,8413,6811,5134,7367,4470,3655,419816,0,L,2.509899903088808,0.09369989857077599
07:06:07,75,91,0,4675,12810,5349,3120,6289,7501,2980,439213,0,L,0.16649998724460602,0.10369997471570969
07:06:08,70,94,0,1621,1614,7296,10303,4706,3422,4022,497632,0,L,0.16789999790489674,0.09829993359744549
07:06:09,77,100,0,3941,4213,19319,7928,12438,13108,1514,525566,0,L,0.15329988673329353,0.09660003706812859
07:06:10,77,97,0,5824,8417,2770,6073,3465,3914,2542,499004,0,L,0.1517001073807478,0.09600003249943256
07:06:11,60,96,0,365022,25007,8179,2019,9408,2486,999,520007,0,L,0.15690014697611332,0.09920005686581135
