timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
23:49:26,56,74,0,1342185,99910,51200,48888,17866,48347,2951,285089,0,N,8.529099985025823,0.10109995491802692
23:49:27,48,77,0,468296,135928,31137,56430,5896,20611,1795,213307,0,N,15.968100051395595,0.09770004544407129
23:49:28,54,75,0,1314765,262242,158356,35509,11014,91928,7215,809634,0,N,0.15390000771731138,0.09620003402233124
23:49:30,44,61,0,1284579,461721,135308,75737,16618,91627,5184,948912,0,N,2.66100000590086,0.10149995796382427
23:49:31,61,57,0,309777,96418,27611,28420,5803,55283,1859,239956,0,N,0.15949993394315243,0.09629991836845875
23:49:31,61,54,0,2255172,779591,359705,72077,14748,268291,3599,994771,0,N,0.15570002142339945,0.09910005610436201
23:49:32,67,74,0,1640026,334328,296136,50690,7836,133187,3707,914754,0,N,0.15109998639672995,0.0934000127017498
23:49:33,70,75,0,855586,573332,256295,59885,14236,162297,9036,937792,0,N,0.1503999810665846,0.09250000584870577
23:49:34,66,70,0,1207133,772016,292081,52766,3318,293363,8956,954283,0,N,2.279200009070337,0.10339997243136168
23:49:35,70,74,0,1358898,504775,272031,68157,13386,266933,3975,1022255,0,N,0.15470001380890608,0.09689992293715477
23:49:36,67,63,0,291557,255877,68503,20139,2165,55916,1849,250416,0,N,0.15620002523064613,0.09760004468262196
23:49:37,74,69,0,227247,60875,57555,15166,2518,35706,1304,247799,0,N,10.964800021611154,0.09910005610436201
23:49:38,64,75,0,930652,587067,340442,48654,19703,122370,10021,1009043,0,N,0.1572000328451395,0.09929994121193886
23:49:39,61,75,0,561478,146132,76440,6604,5289,59877,2046,256132,0,N,0.15660002827644348,0.09840005077421665
23:49:40,77,77,0,1766802,321192,183237,44548,10117,326228,9208,999125,0,N,0.17629994545131922,0.11769996490329504
23:49:41,75,75,0,399085,159630,145604,5165,3964,78485,4136,249135,0,N,16.8666000245139,0.09640003554522991
23:49:42,75,78,0,1034986,498158,424161,58706,35143,146715,13743,1008628,0,N,0.1550999004393816,0.0985999358817935
23:49:43,74,81,0,1060851,541696,303084,75445,22064,219671,4612,819588,0,N,29.988500056788325,0.09410001803189516
