timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
08:51:59,24,100,0,2154422,48348,23085,34040,12782,6105,1729,343938,0,L,0.1705000177025795,0.09560002945363522
08:52:00,26,100,0,967679,228681,42270,10045,10740,13665,1026,368596,0,L,0.29070000164210796,0.22320006974041462
08:52:01,21,100,0,1230905,32149,14014,7127,2527,6790,661,80441,0,L,0.17230003140866756,0.09540002793073654
08:52:02,26,100,0,219151,23549,24143,5321,2092,2962,203,86115,0,L,0.15139998868107796,0.09580003097653389
08:52:03,35,97,0,826877,17732,8883,3605,2463,4199,283,88812,0,L,0.16549997963011265,0.10169995948672295
08:52:04,38,100,0,70057,3211,6391,776,517,724,81,22002,0,L,0.15119998715817928,0.09549991227686405
