timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
09:23:12,54,41,26,69550,183325,12109,69050,1052,53903,733,202502,0,L,0.1905001699924469,0.12660003267228603
09:23:13,21,16,0,186234,1172525,2509,302504,5623,193790,6820,766267,0,L,0.15289988368749619,0.09529991075396538
09:23:14,54,35,0,267082,72018,54679,10794,4918,63370,1077,201483,0,L,0.1596000511199236,0.09740004315972328
09:23:15,51,26,0,1897403,1143859,491950,92224,7206,393513,4204,1408063,0,L,25.067299837246537,0.09649991989135742
09:23:16,69,41,0,76273,37738,2744,36519,470,27368,540,105338,0,L,0.1550000160932541,0.09709992446005344
09:23:17,77,38,0,158127,452370,83897,32210,1299,96354,1181,408731,0,L,0.15249988064169884,0.09629991836845875
09:23:18,44,27,0,160609,611950,16464,195616,2230,102890,1712,471241,0,L,2.5806999765336514,0.12059998698532581
09:23:19,53,35,0,2378925,504067,263784,149952,23714,295677,15609,1335462,0,L,2.6058999355882406,0.0980000477284193
09:23:20,27,26,0,1802406,798065,345933,65804,54439,152159,13047,2073249,0,L,0.17639994621276855,0.098399817943573
09:23:21,21,47,0,1297873,183373,75670,42861,8457,38916,940,381507,0,L,0.15569990500807762,0.0967998057603836
09:23:22,13,70,0,1576284,47774,8101,49771,17224,8378,647,264816,0,L,0.16469997353851795,0.10629999451339245
09:23:23,1,50,0,876257,42794,3793,6817,5114,5853,415,73219,0,L,0.15620002523064613,0.09940005838871002
09:23:24,4,66,0,946089,12845,7102,17045,5705,11195,2598,280141,0,L,0.1550000160932541,0.09819981642067432
09:23:25,3,83,0,607393,10353,11697,11338,1267,3856,394,71090,0,L,0.18740002997219563,0.12030010111629963
09:23:26,3,51,0,1599991,42159,8970,4023,4553,4322,356,70173,0,L,0.15219999477267265,0.09620003402233124
09:23:27,1,83,0,1175414,23516,24673,1102,1938,3176,477,67391,0,L,0.16019982285797596,0.1020999625325203
09:23:28,7,63,0,616299,116667,51730,21564,14626,64795,3483,491392,0,L,3.4286000300198793,0.09840005077421665
09:23:29,20,44,0,102255,269613,195132,2651,5832,78559,1652,592349,0,L,0.15239999629557133,0.09360001422464848
09:23:30,21,67,0,2130865,81035,73975,17944,27765,11889,1429,287003,0,L,0.16149994917213917,0.1037998590618372
09:23:31,27,43,0,981157,322916,44359,58552,22965,33121,1884,323050,0,L,0.16290019266307354,0.10560010559856892
09:23:32,1,38,0,1024124,1385113,240238,216171,40264,89448,3643,1245540,0,L,0.1667998731136322,0.10339985601603985
09:23:33,1,24,0,114183,254718,79551,13003,5103,35121,897,302240,0,L,0.1556000206619501,0.0979001633822918
09:23:34,4,23,0,1608853,108742,70469,28203,5131,26603,1349,297458,0,L,2.5218999944627285,0.09809993207454681
09:23:35,1,14,0,931519,315409,18685,16046,20676,19910,1905,298646,0,L,0.15549990348517895,0.09719980880618095
09:23:36,14,16,0,223730,32393,2770,6102,3186,4075,578,66214,0,L,0.1525001134723425,0.09520002640783787
09:23:37,1,26,0,75965,22776,3809,4549,608,1149,113,18002,0,L,0.1637998502701521,0.10619987733662128
09:23:38,1,1,0,2119562,917751,48198,22438,69219,71199,4256,1213610,0,L,0.15540001913905144,0.09430013597011566
09:23:39,3,14,0,78614,72157,3447,11431,1955,6648,428,73346,0,L,0.15810015611350536,0.09920005686581135
09:23:40,20,29,0,797449,119750,38629,48646,14895,45414,729,298017,0,L,0.15989993698894978,0.10200007818639278
09:23:41,38,48,0,1602179,81450,87058,44623,7514,22994,1147,288778,0,L,0.15549990348517895,0.09829993359744549
09:23:42,44,69,0,443026,115205,20738,21850,8334,15860,2689,280002,0,L,0.15270011499524117,0.09610014967620373
09:23:43,64,81,0,1910093,41091,21483,16542,26439,21811,4513,306491,0,L,0.15569990500807762,0.09769992902874947
09:23:44,60,70,0,160042,192254,57065,4328,2701,44911,3619,192230,0,L,0.17150002531707287,0.11330004781484604
