timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
07:03:14,70,96,0,7447,13326,3447,9740,3477,8355,2101,444121,0,L,0.1583998091518879,0.09569991379976273
07:03:15,74,90,0,7748,14600,14795,1020,2691,17627,1017,438996,0,L,0.18480001017451286,0.11619995348155499
07:03:16,67,80,0,380761,21966,5498,4273,7188,5158,5694,423542,0,L,0.15380000695586205,0.09640003554522991
07:03:17,77,84,0,8728,5787,7528,10333,6712,3642,1293,440018,0,L,0.15579978935420513,0.09789993055164814
07:03:18,74,74,0,147674,18260,3178,780,4932,5789,2020,444651,0,L,0.15490013174712658,0.0925001222640276
07:03:19,69,57,0,10600,9407,889,1077,5107,4562,1222,453115,0,L,0.157299917191267,0.10040006600320339
