timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
18:40:34,69,50,0,255492,275975,60910,12116,4255,47184,4247,325808,0,N,0.22879999596625566,0.11190003715455532
18:40:35,77,47,0,1003937,614879,423545,10907,10285,308334,9565,1172947,0,N,0.16599998343735933,0.1004999503493309
18:40:36,100,61,0,998184,272998,332254,51805,13391,292066,5885,1151448,0,N,0.16400008462369442,0.09650003630667925
18:40:37,100,77,0,139899,28007,28818,558,1413,19678,475,71599,0,N,0.15410000924021006,0.09570003021508455
18:40:38,100,81,0,753360,789351,263226,75678,10892,155888,7986,1105406,0,N,2.4930000072345138,0.1023000804707408
18:40:39,100,88,0,747868,475552,410891,40073,34710,140758,5295,1118715,0,N,0.1569000305607915,0.09840005077421665
18:40:40,83,80,0,51096,69694,17751,10672,1569,9485,730,107977,0,N,2.312100026756525,0.09310001041740179
18:40:41,83,80,0,228688,79546,88700,8122,4212,56294,1663,189991,0,N,0.16739999409765005,0.10720000136643648
18:40:42,88,54,0,481075,832743,15116,9878,10457,167722,5857,703701,0,N,0.15570002142339945,0.09760004468262196
18:40:43,91,47,0,311081,399331,98713,26250,4232,114776,2160,722672,0,N,1.7287000082433224,0.09550002869218588
18:40:44,100,50,0,914455,281448,187580,7601,3905,229130,5065,692853,0,N,0.1689000055193901,0.10270008351653814
18:40:45,100,43,0,709974,239026,111057,12931,7562,215084,8431,694570,0,N,0.15630002599209547,0.09810004848986864
18:40:46,100,70,0,135248,69195,35857,5776,1513,39900,1260,178562,0,N,2.4259999627247453,0.10659999679774046
18:40:47,100,70,0,92305,100901,30606,4046,2090,47748,808,149714,0,N,0.15689991414546967,0.09839993435889482
18:40:48,100,77,0,428092,211484,153274,9711,7506,39288,2298,626980,0,N,0.1569000305607915,0.10000006295740604
18:40:49,96,61,0,270105,276049,19641,10751,18634,141822,2124,640161,0,N,0.1574999187141657,0.09979994501918554
18:40:50,96,41,0,304054,366135,20311,8089,6068,142251,1955,647606,0,N,0.15840004198253155,0.09740004315972328
18:40:51,100,47,0,274515,25806,27557,1590,1952,55339,459,152140,0,N,0.15390000771731138,0.09630003478378057
18:40:52,100,13,0,478174,574133,7311,6601,3159,146411,2166,658388,0,N,0.15860004350543022,0.10030006524175406
