timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
06:51:35,100,74,0,9449,6659,12709,3033,2024,6006,5766,403329,0,L,0.1563001424074173,0.09370013140141964
06:51:36,100,80,0,5154,10079,6942,6633,11703,8172,5594,369323,0,L,0.17279991880059242,0.10329997166991234
06:51:37,100,64,0,49452,20002,3531,2710,6494,7911,4455,309066,0,L,0.20839995704591274,0.10399986058473587
06:51:38,93,74,0,1555,10186,12117,6212,21778,8572,3333,344857,0,L,7.291800109669566,0.09480002336204052
06:51:39,88,66,0,40274,17702,8432,5164,4540,5145,4425,338350,0,L,2.2390999365597963,0.10169995948672295
06:51:40,91,67,0,2477,7602,6189,6113,7523,8273,3722,291475,0,L,2.1786000579595566,0.09549991227686405
