timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
09:59:02,1,88,0,458302,216503,18752,30078,16527,5805,636,204167,0,N,0.16289995983242989,0.0996000599116087
09:59:03,1,88,0,719887,44943,15412,17288,14039,1987,801,206433,0,N,0.16070017591118813,0.09910017251968384
09:59:04,1,78,0,571735,283752,11267,17404,7297,5380,2034,214121,0,N,0.15820004045963287,0.10020006448030472
09:59:05,1,60,0,1005165,220100,33248,22395,22024,11731,548,225883,0,N,0.1567997969686985,0.09939982555806637
09:59:06,1,57,0,1541595,415292,56712,12510,12163,3963,1288,194438,0,N,0.157299917191267,0.09789993055164814
09:59:07,1,60,0,1227093,60213,39687,17966,19104,6289,1204,219955,0,N,0.15329988673329353,0.09569991379976273
09:59:08,8,75,0,221447,85155,25059,35004,11073,7397,721,209368,0,N,2.16599996201694,0.10009994730353355
09:59:09,23,87,0,609438,12829,41309,13939,39060,12642,1358,219466,0,N,0.1542998943477869,0.09719980880618095
09:59:10,35,80,0,2060916,933703,24414,44702,46634,33373,6468,883384,0,N,0.15740003436803818,0.0996999442577362
09:59:11,26,67,0,712445,66213,5319,5138,3234,1642,346,56984,0,N,0.1550999004393816,0.09869993664324284
