timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
13:35:25,0,0,200,518957,926576,103209,522351,309220,629836,185793,824947,0,F,0.21630001720041037,0.10430000838823617
13:35:26,0,0,200,193386,560702,131225,149728,72625,226230,87556,1465536,0,F,0.16080000204965472,0.09839999256655574
13:35:27,0,0,200,862345,1410208,33570,595861,86984,416378,140302,765283,0,F,0.15589999384246767,0.09839999256655574
