timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
17:33:41,57,63,0,29845,32791,18297,7643,15001,4753,2088,189897,0,L,0.16369999502785504,0.09289999434258789
17:33:42,23,29,0,909675,614007,94461,21557,38417,25765,5157,158661,0,L,0.15330000314861536,0.09210000280290842
17:33:43,20,21,0,1194647,431048,31800,30342,25068,11226,2074,156658,0,L,0.16929999401327223,0.09809999028220773
17:33:44,10,29,0,91734,91569,37528,1549,26381,9444,2228,172052,0,L,0.1525000116089359,0.09390000195708126
17:33:45,7,16,0,111077,172171,36481,6557,6288,4127,1359,152839,0,L,0.15279999934136868,0.09490000957157463
17:33:46,16,14,0,275934,90463,11375,5836,9813,11105,6681,161740,0,L,28.670200001215562,0.09250000584870577
17:33:47,30,35,0,231253,15374,3809,10874,1445,2835,616,46359,0,L,0.15259999781847,0.09600000339560211
17:33:48,17,50,0,150762,12683,18339,1345,2054,547,148,9667,0,L,0.15580000763293356,0.09750000026542693
17:33:49,29,51,0,1054810,221984,42684,28763,36328,18685,6476,181579,0,L,2.6994000072591007,0.1472000003559515
17:33:50,17,57,0,701887,287740,79522,31973,38925,12976,3773,167685,0,L,0.15330000314861536,0.09370000043418258
17:33:51,7,50,0,898052,71198,16377,10960,4645,2694,2547,42309,0,L,0.15039999561849982,0.09249999129679054
17:33:51,20,40,0,81795,18198,7889,2917,947,1934,278,9774,0,L,0.1478000049246475,0.09030000364873558
17:33:52,4,35,0,824877,198856,23122,11989,20241,3570,1061,35338,0,L,2.5222000112989917,0.09080000745598227
17:33:53,4,30,0,465150,112652,16362,14946,22755,4743,1198,32504,0,L,0.15380000695586205,0.09580000187270343
17:33:54,26,24,0,1240280,26899,4574,4726,20506,7926,2496,5571,0,L,0.14899999951012433,0.09080000745598227
