timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
07:04:59,67,90,0,271568,63033,16193,8560,8504,3339,1983,391690,0,L,0.17120013944804668,0.09600003249943256
07:05:00,50,90,0,6234,9544,8781,2238,5419,1837,1640,439131,0,L,12.69869995303452,0.09570014663040638
07:05:01,57,87,0,1735,5793,5965,4500,6765,6312,3629,471903,0,L,0.17250003293156624,0.11480017565190792
07:05:02,53,90,0,6297,4395,4314,3540,2621,4722,3114,485507,0,L,0.15920004807412624,0.09930017404258251
07:05:03,69,100,0,7739,2367,5256,11306,2249,3795,1583,424382,0,L,0.15380000695586205,0.09640003554522991
07:05:04,77,96,0,32533,28972,5524,3637,4341,6879,5213,459547,0,L,0.15029986388981342,0.09400001727044582
