timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
06:46:03,93,61,0,5048,13194,698,9757,7190,4271,4721,333709,0,L,2.1739997901022434,0.1349998638033867
06:46:05,77,66,0,9014,11252,5735,4460,3268,6712,2545,304643,0,L,14.832200016826391,0.09400001727044582
06:46:07,74,66,0,28007,13768,3655,2850,9141,8549,2207,342418,0,L,2.2680999245494604,0.09360001422464848
06:46:08,93,64,0,4312,4991,3051,2063,6460,6321,3411,278220,0,L,0.15840004198253155,0.10109995491802692
06:46:09,94,61,0,2443,4217,2934,3798,11659,4120,5385,369510,0,L,0.17150002531707287,0.1088001299649477
06:46:10,90,70,0,6165,10134,14233,1823,6732,1979,2674,389267,0,L,0.15159999020397663,0.09610014967620373
